description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Spot the Dog is so curious about the world that he has taught himself how to talk and read, and then sneaks to school with his master, Leonard, where he poses as a human.
            ","PG (for some mildly crude humor)
                    ",Timothy Bjrklund,NA,NA,Bill Steinkellner,Cheri Eichen,NA,NA,"Jan 16, 2004
                        ","Jun 15, 2004
                        ","
                            73 minutes
                        ","
                        Buena Vista Pictures
                    ","
                Nathan Lane
            ","
                Kelsey Grammer
            ","
                Shaun Flemming
            ","
                Shaun Fleming
            ","
                Debra Jo Rupp
            ","
                David Ogden Stiers
            ",Teacher's Pet,NA,"Despite its short running time, Teacher's Pet is a witty and irreverent family film.","
                        
                        Animation, 
                        
                        Comedy, 
                        
                        Kids & Family, 
                        
                        Musical & Performing Arts, 
                        
                        Television
                        
                    ",76,74,48,1,140000,6.52,6.66,25,3.15,129,139,159,https://www.rottentomatoes.com/m/teachers_pet_2004
"
                Synopsis: Each night, when Ben falls asleep, his Crayons' magical Crayon Box transports them to COLOR CITY, a world of dazzling hues, soaring fantasy and the whimsy of childhood. When YELLOW is accidentally left behind in Ben's room, she awakens two Unfinished Drawings: KING SCRAWL, a huge monster, and GNAT, Scrawl's sidekick. They follow Yellow to Color City and claim the enchanted Rainbow Waterfall and all of its color for themselves. Soon Color City will fade and our lovable crayon characters will disappear. It's up to Yellow and her pals, BLUE, GREEN, RED, and the twins, BLACK and WHITE, to save the day. Meeting with fantastical creatures and fun adventures along the way, Yellow discovers she has more courage than she knew and learns to believe in herself and to count on the support of her friends. Replete with valuable life lessons, THE HERO OF COLOR CITY will entertain and inspire. (c) Magnolia
            ","G
                    ",Frank Gladstone,NA,NA,Kirsty Peart,Rich Raczelowski,J.P. McCormick,Jess Kedward,"Oct 3, 2014
                        ","Dec 2, 2014
                        ","
                            77 minutes
                        ","
                        Magnolia Pictures
                    ","
                Christina Ricci
            ","
                Rosie Perez
            ","
                Craig Ferguson
            ","
                Wayne Brady
            ","
                Sean Astin
            ","
                Owen Wilson
            ","
                                The Hero of Color City
                            ",2014,No consensus yet.,"
                        
                        Animation, 
                        
                        Kids & Family
                        
                    ",29,21,48,326,140175,4.42,5.06,12,3.12,26,28,97,https://www.rottentomatoes.com/m/the-hero-of-color-city
"
                This European fantasy features excellent and surprisingly imaginative clay animation combined with live-action to tell the story of a man who sells his soul to Satan without the benefit of a lawyer. Initially, Faust does not rise to the bait presented by Mephistopheles' assistants who encode their offers in commuter-maps handed out at a Prague subway exit. Instead he accidently calls Mephistopheles himself. With the Devil's favorite minion, Faust agrees to sell his soul in exchange for 24 pleasure-filled years. The bargain is sealed, but Faust doesn't get what he bargained for. First he is turned into an actor, then he is turned into a puppet. ~ Sandra Brennan, Rovi
            ","NR
                    ",Jan Svankmajer,NA,NA,Johann Wolfgang Goethe,Christian Dietrich Grabbe,Jan Svankmajer,Christopher Marlowe,"Jan 1, 1994
                        ","Aug 31, 1999
                        ","
                            95 minutes
                        ","

                            95 minutes
                        
","
                Petr Cepek
            ","
                Viktorie Knotkova
            ","
                Jan Kraus
            ","
                Vladimr Kudla
            ","
                Andrew Sachs
            ","
                Jiri Suchy
            ",Faust,NA,No consensus yet.,"
                        
                        Animation, 
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy, 
                        
                        Special Interest
                        
                    ",70,10,91,4,134359,6.83,7.5,1,4.17,453,47,697,https://www.rottentomatoes.com/m/faust1995
"
                Walt Disney Animation Studios returns to the Hundred Acre Wood with Winnie the Pooh. Featuring the timeless charm, wit and whimsy of the original featurettes, this all-new movie reunites audiences with the philosophical ""bear of very little brain"" and friends Tigger, Rabbit, Piglet, Owl, Kanga, Roo-and last, but certainly not least, Eeyore, who has lost his tail. ""Ever have one of those days where you just can't win, Eeyore?"" asks Pooh. Owl sends the whole gang on a wild quest to save Christopher Robin from an imaginary culprit. It turns out to be a very busy day for a bear who simply set out to find some honey. Inspired by three stories from A.A. Milne's books in Disney's classic, hand-drawn art style. -- (C) Walt Disney
            ","G
                    ",Don Hall,Stephen J. Anderson,NA,Stephen J. Anderson,Don Dougherty,Don Hall,Kendelle Hoyer,"Jul 15, 2011
                        ","Oct 25, 2011
                        ","
                            73 minutes
                        ","
                        Walt Disney Pictures
                    ","
                Jim Cummings
            ","
                Craig Ferguson
            ","
                Jack Boulter
            ","
                Travis Oates
            ","
                Bud Luckey
            ","
                Kristen Anderson-Lopez
            ","
                                Winnie the Pooh
                            ",2011,"Short, nostalgic, and gently whimsical, Winnie the Pooh offers young audiences -- and their parents -- a sweetly traditional family treat.","
                        
                        Animation, 
                        
                        Kids & Family
                        
                    ",91,129,80,36,142360,7.23,7.25,39,3.97,5423,1366,16740,https://www.rottentomatoes.com/m/winnie_the_pooh_2011
"
                Acclaimed filmmaker Zack Snyder makes his animation debut with the fantasy family adventure ""Legend of the Guardians: The Owls of Ga'Hoole"" based on the beloved Guardians of Ga'Hoole books by Kathryn Lasky. The film follows Soren, a young owl enthralled by his father's epic stories of the Guardians of Ga' Hoole, a mythic band of winged warriors who had fought a great battle to save all of owlkind from the evil Pure Ones. While Soren dreams of someday joining his heroes, his older brother, Kludd, scoffs at the notion, and yearns to hunt, fly and steal his father's favor from his younger sibling. But Kludd's jealousy has terrible consequences--causing both owlets to fall from their treetop home and right into the talons of the Pure Ones. Now it is up to Soren to make a daring escape with the help of other brave young owls. Together they soar across the sea and through the mist to find the Great Tree, home of the legendary Guardians--Soren's only hope of defeating the Pure Ones and saving the owl kingdoms. -- (C) Warner Bros
            ","PG
                    ",Zack Snyder,NA,NA,John Orloff,John Collee,Emil Stern,NA,"Sep 24, 2010
                        ","Dec 17, 2010
                        ","
                            90 minutes
                        ","
                        Warner Bros. Pictures
                    ","
                Abbie Cornish
            ","
                Miriam Margolyes
            ","
                Helen Mirren
            ","
                Sam Neill
            ","
                Geoffrey Rush
            ","
                Jim Sturgess
            ","
                                Legend of the Guardians: The Owls of Ga'Hoole
                            ",2010,"Legend of the Guardians' dark tone and dazzling visuals are to be admired, even if they're ultimately let down by a story that never lives up to its full potential.","
                        
                        Action & Adventure, 
                        
                        Animation, 
                        
                        Science Fiction & Fantasy
                        
                    ",51,130,63,70,142508,5.64,5.48,27,3.56,8251,4768,23909,https://www.rottentomatoes.com/m/legend_of_the_guardians
"
                Wolf is a clever thief with a knack for getting into trouble. This animated Japanese feature chronicles his adventures in the land of Cagliostro where he stops a corrupt count from continuing to counterfeit money and saves a beautiful princess.
            ","NR
                    ",Hayao Miyazaki,NA,NA,Hauya Yamazaki,Hayao Miyazaki,NA,NA,"Jan 1, 2000
                        ","Apr 25, 2000
                        ","
                            100 minutes
                        ","
                        Toho Company
                    ","
                Yasuo Yamada
            ","
                Eiko Masuyama
            ","
                Kiyoshi Kobayashi
            ","
                Makio Inoue
            ","
                Goro Naya
            ","
                Sumi Shimamoto
            ","
                                Lupin III: The Castle of Cagliostro (Rupan sansei: Kariosutoro no shiro)
                            ",1979,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Animation, 
                        
                        Kids & Family, 
                        
                        Mystery & Suspense, 
                        
                        Romance
                        
                    ",94,18,89,12,135623,7.26,8,2,4.12,2316,297,1854,https://www.rottentomatoes.com/m/lupin_iii_the_castle_of_cagliostro
"
                Will Vinton, the stop-motion animation whiz who brought us The California Raisins, is the principal creative force behind The Adventures of Mark Twain. A clay-model Twain, voiced by James Whitmore, sets out in a hot-air balloon to find Halley's Comet. Joining the waspish humorist on his journey are some of his favorite creations, including Tom Sawyer, Becky Thatcher and Huckleberry Finn. As the balloon ascends further into the sky, we are treated to animated dramatization of such Twain classics as ""The Celebrated Jumping Frog of Calaveras County."" Though brilliantly conceived and executed, Adventures of Mark Twain might have been even more effective had it been shortened by ten minutes or so.
            ","G
                    ",Will Vinton,NA,NA,Susan Shadburne,NA,NA,NA,"Mar 1, 1985
                        ","Jan 31, 2006
                        ","
                            86 minutes
                        ","
                        Eureka Entertainment Ltd
                    ","
                James Whitmore
            ","
                Michele Mariana
            ","
                Gary Krug
            ","
                Chris Ritchie
            ","
                Carol Edelman
            ","
                John Hennigan
            ","
                                The Adventures of Mark Twain
                            ",1985,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Animation, 
                        
                        Kids & Family
                        
                    ",80,5,82,1,140284,7,0,1,3.95,219,48,135,https://www.rottentomatoes.com/m/1000334-adventures_of_mark_twain
"
                DreamWorks Animation and the director of Madagascar invite you to meet a most unusual baby. He wears a suit, speaks with the voice and wit of Alec Baldwin, and stars in the animated comedy, DreamWorks' The Boss Baby. The Boss Baby is a hilariously universal story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim. With a sly, heart-filled message about the importance of family, DreamWorks' The Boss Baby is an authentic and broadly appealing original comedy for all ages.
            ","PG (for some mild rude humor)
                    ",Tom McGrath,NA,NA,Michael McCullers,NA,NA,NA,"Mar 31, 2017
                        ","Jul 25, 2017
                        ","
                            97 minutes
                        ","
                        DreamWorks Animation
                    ","
                Alec Baldwin
            ","
                Steve Buscemi
            ","
                Jimmy Kimmel
            ","
                Lisa Kudrow
            ","
                Miles Christopher Bakshi
            ","
                James McGrath
            ",The Boss Baby,NA,"The Boss Baby's talented cast, glimmers of wit, and flashes of visual inventiveness can't make up for a thin premise and a disappointing willingness to settle for doody jokes.","
                        
                        Animation, 
                        
                        Comedy, 
                        
                        Kids & Family
                        
                    ",52,178,51,29,135310,5.52,5.35,34,3.31,5255,5046,16281,https://www.rottentomatoes.com/m/the_boss_baby
"
                Central Park ant drone Z longs to be an individual of accomplishment, but Z's colony is a society that puts the value of the colony over personal achievement. Young Z sets his sites on the colony's Queen daughter Bala- who is uninterested until Z successfully mounts a revolution within the colony for the advancement of individuality.
            ","PG (for mild language and menacing action)
                    ",Eric Darnell,Tim Johnson,NA,Todd Alcott,Chris Weitz,Paul Weitz,NA,"Oct 2, 1998
                        ","Mar 23, 1999
                        ","
                            83 minutes
                        ","
                        Dreamworks
                    ","
                Woody Allen
            ","
                Sharon Stone
            ","
                Gene Hackman
            ","
                Sylvester Stallone
            ","
                Dan Aykroyd
            ","
                Jennifer Lopez
            ",Antz,NA,"Featuring a stellar voice cast, technically dazzling animation, and loads of good humor, Antz should delight both children and adults.","
                        
                        Animation, 
                        
                        Comedy, 
                        
                        Kids & Family, 
                        
                        Science Fiction & Fantasy
                        
                    ",92,93,52,651,133337,7.61,7.52,26,3.27,9631,9015,30708,https://www.rottentomatoes.com/m/antz
"
                Sent from her foster home in the city one summer to a sleepy town by the sea in Hokkaido, Anna dreams her days away among the marshes. She believes she's outside the invisible magic circle to which most people belong - and shuts herself off from everyone around her, wearing her ""ordinary face"". Anna never expected to meet a friend like Marnie, who does not judge Anna for being just what she is. But no sooner has Anna learned the loveliness of friendship than she begins to wonder about her newfound friend... Based on the novel by Joan G. Robinson, When Marnie Was There is the newest film from Studio Ghibli, and the second feature film by Hiromasa Yonebayashi, the director of The Secret World of Arrietty.(C) GKids
            ","PG (for thematic elements and smoking)
                    ",Hiromasa Yonebayashi,NA,NA,Keiko Niwa,Hiromasa Yonebayashi,Masashi Ando,NA,"May 22, 2015
                        ","Oct 6, 2015
                        ","
                            103 minutes
                        ","
                        GKIDS
                    ","
                Nanako Matsushima
            ","
                Kiernan Shipka
            ","
                Hitomi Kuroki
            ","
                Hailee Steinfeld
            ","
                John C. Reilly
            ","
                Vanessa L. Williams
            ","
                                When Marnie Was There
                            ",2015,"When Marnie Was There is still blessed with enough visual and narrative beauty to recommend, even if it isn't quite as magical as Studio Ghibli's greatest works.","
                        
                        Animation, 
                        
                        Drama
                        
                    ",91,96,88,6,136273,7.46,7.12,28,4.13,1780,242,3577,https://www.rottentomatoes.com/m/when_marnie_was_there
"
                Walt Disney Animation Studios presents the musical ""The Princess and the Frog,"" an animated comedy set in the great city of New Orleans. From the creators of ""The Little Mermaid"" and ""Aladdin"" comes a modern twist on a classic tale, featuring a beautiful girl named Tiana, a frog prince who desperately wants to be human again, and a fateful kiss that leads them both on a hilarious adventure through the mystical bayous of Louisiana.
            ","G
                    ",John Musker,Ron Clements,NA,Ron Clements,John Musker,Rob Edwards,NA,"Dec 11, 2009
                        ","Mar 16, 2010
                        ","
                            95 minutes
                        ","
                        Walt Disney Pictures
                    ","
                Anika Noni Rose
            ","
                Bruno Campos
            ","
                Keith David
            ","
                Michael-Leon Wooley
            ","
                Jennifer Cody
            ","
                Jim Cummings
            ",The Princess and the Frog,NA,The warmth of traditional Disney animation makes this occasionally lightweight fairy-tale update a lively and captivating confection for the holidays.,"
                        
                        Animation, 
                        
                        Comedy, 
                        
                        Kids & Family, 
                        
                        Musical & Performing Arts, 
                        
                        Science Fiction & Fantasy, 
                        
                        Romance
                        
                    ",85,196,74,261,142485,7.39,7.19,50,3.8,20410,7106,96652,https://www.rottentomatoes.com/m/1196003-princess_and_the_frog
"
                Blinky Bill is a little koala with a big imagination. An adventurer at heart, he dreams of leaving the little town of Green Patch and following in his missing father's footsteps. When Blinky discovers a mysterious marker that hints at his Dad's whereabouts, he embarks on a journey that takes him beyond the boundary of Green Patch and into the wild and dangerous Outback. He quickly makes friends with Nutsy, a zoo koala, and Jacko, a nervous frill-necked lizard. Pursued relentlessly by a vengeful Cat who has a personal score to settle with Blinky, the trio must learn to work together if they ever want to survive the rugged Australian landscape and find Blinky's father!
            ","NR (for some rude humor.)
                    ",Deane Taylor,Noel Cleary,Alexs Stadermann,Fin Edquist,NA,NA,NA,"Oct 7, 2016
                        ","Oct 11, 2016
                        ","
                            90 minutes
                        ","
                        Assemblage Entertainment
                    ","
                Ryan Kwanten
            ","
                Rufus Sewell
            ","
                Toni Collette
            ","
                David Wenham
            ","
                Barry Humphries
            ","
                Robin McLeavy
            ","
                                Blinky Bill The Movie
                            ",2016,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Animation, 
                        
                        Art House & International
                        
                    ",73,11,43,245,135886,5.38,5,3,3,37,49,97,https://www.rottentomatoes.com/m/blinky_bill_the_movie
"
                During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot. (C) Disney
            ","NR
                    ",Steve Purcell (II) ,NA,NA,Steve Purcell (II) ,NA,NA,NA,"Dec 2, 2014
                        ","Nov 3, 2015
                        ","
                            22 minutes
                        ","
                        Disney/Pixar
                    ","
                Tom Hanks
            ","
                Tim Allen
            ","
                Kristen Schaal
            ","
                Kevin Mckidd
            ","
                Emily Hahn
            ",NA,"
                                Toy Story That Time Forgot
                            ",2014,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Animation
                        
                    ",100,10,82,801,136351,7.92,6,3,3.96,445,99,253,https://www.rottentomatoes.com/m/toy_story_that_time_forgot
